企业名称,统一社会信用代码,注册日期,企业类型,法人代表,注册资金,经营范围,所在省份,地区,注册地址
苏州市电器元件一厂有限公司,913205071377002271,1981-01-02,有限责任公司,龚建国,"530万人民币","制造、加工：接触器、墙钟装配。自营和代理各类商品及技术的进出口业务",江苏,苏州,"苏州市相城区渭塘民本创业园18号"
苏州市虎阜商行家用杂品门市部,91320508783358331F,1981-01-02,股份合作制分支机构,袁美萍,"0.5万人民币","许可经营项目：零售：日用杂品",江苏,苏州,"苏州市金阊区虎丘玫瑰苑49号"
常州市金商服饰水洗有限公司,91320402137320777A,1981-01-03,有限责任公司,石惠康,"100万人民币","布料水洗，服装加工，坯布制造。",江苏,常州,"天宁区青洋北路79号"
昆山市中联第一造纸机械厂,913205838381547833,1981-01-07,股份合作制,孙春山,"645万人民币","制造、加工造纸机械；有色金属铸件、镀铜；货物及技术的进出口业务。",江苏,苏州,"玉山镇共青村"
常州常八电机有限公司,91320412250969607G,1981-01-08,有限责任公司,沈甫昌,"66.6万人民币","电机、电机定子嵌线、导线、剪剥机、风机制造，机械零部件加工。",江苏,常州,"武进区遥观镇剑湖村西夏庄203号"
常州市新建电讯配件有限公司,913204122509697467,1981-01-08,有限责任公司,吴岳兴,"38.9万人民币","电讯配件制造，机械零部件加工。",江苏,常州,"武进区遥观镇新南村"
苏州市无线电元件一厂有限公司,913205051377008250,1981-01-08,N/A,吴信毅,"50(万元人民币)","生产销售：固态继电器系列、电子显示屏系列、电子电器产品。",江苏,苏州,"苏州高新区滨河路198号"
靖江市安达储运有限公司,91321282141100806U,1981-01-08,N/A,刘旭平,"50(万元人民币)","普通货运、搬运装卸、货运代理",江苏,泰州,"靖江市马桥镇江平路599号"
苏州市第一丝厂有限公司,91320508137691594Q,1981-01-08,N/A,陈远志,"1,088(万元人民币)","生产、加工：白厂丝、服装、丝绸复制品、丝绸面料、丝棉被及床上用品、浆料、护肤类护发类化妆品及洗涤剂、丝织品、工艺美术品品",江苏,苏州,"苏州市南门路94号"
丹阳市普菲特皮革助剂有限公司,91321181142431527Q,1981-01-18,有限责任公司,韩波,"40万人民币","普通化工原料及产品批发。",江苏,镇江,"丹阳市延陵镇行宫谭巷村"
常州市金泉制衣有限公司,91320402251019988M,1981-01-25,N/A,须湘君,"180(万元人民币)","服装、劳保用品、床上用品制造。",江苏,常州,"天宁区郑陆镇三河口街"
常州环宇百特自动化设备有限公司,91320412250988074L,1981-01-25,有限责任公司,毛国荣,"580万人民币","金属冷作、机械零部件、复合塑料制品加工；仪器仪表、计算机软件的开发；工业自动化控制系统装置、金属材料、建材、电子产品、通用机械及配件、电气机械及器材、化工产品及原料（不含危险化学品）、计算机软硬件及辅助设备、五金产品销售；自营和代理各类商品及技术的进出口业务，但国家限定企业经营或禁止进出口的商品及...",江苏,常州,"武进区横林镇崔桥村"
常州市黄天荡水泥制品有限公司,91320402251026627D,1981-01-25,有限责任公司,许志兆,"244.7万人民币","水泥预制构件制造。",江苏,常州,"天宁区郑陆镇黄天荡村"
常州市鹤鹏机械制造有限公司,913204022510135430,1981-01-25,N/A,江泉彪,"500(万元人民币)","制药机械设备、化纤机械、铸铁件、纺机配件制造；自营和代理各类商品及技术的进出口业务，但国家限定公司经营或禁止进出口的商品和技术除外。",江苏,常州,"天宁区郑陆镇焦溪南街"
泰州市龙沟电镀科技有限公司,91321204141325837U,1981-01-25,N/A,丁章安,"1,500(万元人民币)","电镀技术研发、技术咨询、技术转让；金属表面处理（电镀）；销售本企业所生产加工的产品；自营和代理各类商品及技术的进出口业务",江苏,泰州,"泰州市姜堰区俞垛镇角墩村"
常州市创成塑料包装有限公司,91320402251014474P,1981-01-25,有限责任公司,高志江,"1000万人民币","塑料编织袋、塑料制品",江苏,常州,"天宁区郑陆镇焦溪工业集中区"
泰州市泰山宾馆有限公司,91321202755888634A,1981-01-28,N/A,蔡长荣,"100(万元人民币)","住宿服务，洗浴服务，餐饮服务",江苏,泰州,"泰州市海陵区青年路30号"
苏州艺石斋有限公司,91320508137705378H,1981-01-29,N/A,李麟驾,"1,000(万元人民币)","销售：碑帖、篆刻、文房四宝、书画、工艺品、文化用品、珠宝玉器、红木制品。",江苏,苏州,"苏州市宫巷96号"
无锡市工艺雕刻厂有限公司,91320203135893926X,1981-01-29,N/A,吴佳蔚,"50(万元人民币)","雕刻印章；雕塑工艺品加工。",江苏,无锡,"无锡市西门水沟头153号"
徐州市电影剧场公司,9132030013638228XP,1981-02-17,N/A,陈亚娜,"150.1600(万元人民币)","电影设备维修。",江苏,徐州,"徐州市解放路185号"
常州市惠宇电器有限公司,9132041225095611XU,1981-02-18,N/A,贾于中,"1,580(万元人民币)","家用电器配件、钟表零部件、模具、金属冲压件、汽车配件、铝制品、活动房屋、屏风制造，加工；自营和代理各类商品及技术的进出口业务，但国家限定企业经营或禁止进出口的商品和技术除外。",江苏,常州,"武进区洛阳镇戴洛路111号"
苏州铁路综合服务公司,91320508137690444N,1981-02-18,N/A,张志杰,"235(万元人民币)","代办打包装卸运输；房屋租赁、柜台出租；代售火车票；提供计算机信息服务、计算机维修服务；批零兼零售：日用百货，小件寄存；销售：食品（不含熟食），卷烟",江苏,苏州,"苏州火车站"
常州市巨顺化工有限公司,913204122508641435,1981-02-18,N/A,王胜利,"1,100(万元人民币)","化工原料销售。",江苏,常州,"武进区雪堰镇雪城路158号"
常州市武进湖塘天顺灯芯绒有限公司,91320412250925428E,1981-02-19,有限责任公司,凌小焕,"100万人民币","割绒加工，织布，模具制造，机械零部件加工。",江苏,常州,"武进区湖塘镇人民西路"
